2026-09-23T16:38:33Z INFO Logging to /tmp/logs/update_2026-09-23T16-38-33Z.log.
2026-09-23T16:38:33Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-23T16:38:33Z INFO Processing 369 items (55049 already recorded).
2026-09-23T16:50:20Z INFO [127/369] 114a30ee-f373-4b2c-a0e3-9b4b1824ec6e: 531 datasets; 3.7 s; peak memory 271 MiB.
2026-09-23T16:50:20Z INFO [128/369] 114ab2ce-eaa4-447c-95b8-e43b7d590d11: 42 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:50:21Z INFO [129/369] 114afb88-a128-4b52-aa93-8e1fbe7d9b57: 44 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:50:36Z INFO [130/369] 114b473f-4039-4ca4-b3b0-435b15b7372c: 49 datasets; 15.0 s; peak memory 271 MiB.
2026-09-23T16:50:38Z INFO [131/369] 114ba2fb-e1b0-4bbb-a088-b2a307079407: 44 datasets; 1.8 s; peak memory 271 MiB.
2026-09-23T16:50:41Z INFO [132/369] 114c464e-f942-44f4-8dec-ef3c480815b1: 482 datasets; 3.3 s; peak memory 271 MiB.
2026-09-23T16:50:42Z INFO [133/369] 114c6513-f978-4930-884f-77a2c26f960d: 48 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:50:45Z INFO [134/369] 114c7e99-5858-4608-9469-bcd8348d8933: 180 datasets; 2.9 s; peak memory 271 MiB.
2026-09-23T16:50:47Z INFO [135/369] 114c809b-8d69-45bf-9aab-0762f783ab75: 119 datasets; 1.8 s; peak memory 271 MiB.
2026-09-23T16:50:48Z INFO [136/369] 114de751-01bb-4bef-9b0a-2e0ab6bf2c62: 52 datasets; 1.2 s; peak memory 271 MiB.
2026-09-23T16:50:49Z INFO [137/369] 114e41aa-4d3b-4807-b6d4-ffbb7f779f96: 112 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:50:50Z INFO [138/369] 114f62d4-bb1a-4f54-9e09-91250185d9be: 50 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:50:51Z INFO [139/369] 114f65cc-12ef-4c4b-a1c8-4c5d18191e9d: 112 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:50:52Z INFO [140/369] 11509c07-8d7c-4f1c-89a7-be458dbab909: 67 datasets; 1.1 s; peak memory 271 MiB.
2026-09-23T16:50:52Z INFO [141/369] 11536767-73da-4041-a0d4-1104d8ed395c: 48 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:50:53Z INFO [142/369] 1153bd82-ac32-45f0-9e2b-056034bb4ed7: 39 datasets; 0.7 s; peak memory 271 MiB.
