2026-09-25T16:59:45Z INFO Logging to /tmp/logs/update_2026-09-25T16-59-45Z.log.
2026-09-25T16:59:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T16:59:45Z INFO Processing 367 items (57291 already recorded).
2026-09-25T17:08:00Z INFO [130/367] 15e4c26f-9f6b-4a24-8dbe-18361133e3df: 118 datasets; 2.3 s; peak memory 256 MiB.
2026-09-25T17:08:02Z INFO [131/367] 15e521df-114d-4321-ad47-9dbc7b5a0d58: 47 datasets; 1.8 s; peak memory 256 MiB.
2026-09-25T17:08:03Z INFO [132/367] 15e57ff7-65e3-4531-8f5d-4a2847a56afa: 62 datasets; 1.5 s; peak memory 256 MiB.
2026-09-25T17:08:05Z INFO [133/367] 15e65307-91aa-4e48-b616-f649fbda1a0b: 48 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:08:06Z INFO [134/367] 15e6a56c-6af2-4d14-b7e0-39302d8247ef: 48 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:08:08Z INFO [135/367] 15e7af23-1f31-44db-8ece-db23c38ec639: 102 datasets; 2.2 s; peak memory 256 MiB.
2026-09-25T17:08:09Z INFO [136/367] 15e843c5-66a8-4a04-8638-40e58654f367: 483 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:08:11Z INFO [137/367] 15e84d36-5dfb-49b3-aeac-54bbd81aad08: 71 datasets; 2.0 s; peak memory 256 MiB.
2026-09-25T17:08:13Z INFO [138/367] 15e8520b-9d3b-4e03-8a45-6440a8604a74: 48 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:08:15Z INFO [139/367] 15ea02b9-c2d1-4827-84f9-13f415f1cc0a: 71 datasets; 2.1 s; peak memory 256 MiB.
2026-09-25T17:08:16Z INFO [140/367] 15ea2876-48bf-4b61-ba40-07f956f5907d: 48 datasets; 1.1 s; peak memory 256 MiB.
2026-09-25T17:08:19Z INFO [141/367] 15eba4d0-b31e-4f67-ae0d-84081fc22c8d: 100 datasets; 3.1 s; peak memory 256 MiB.
2026-09-25T17:08:20Z INFO [142/367] 15ebd112-6924-41ab-918a-54b2732d7fc5: 62 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:08:22Z INFO [143/367] 15ec4a30-dec4-46ac-9b1e-42664ccb230b: 66 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:50:48Z INFO [144/367] 15ec87d9-27ff-44bc-b101-ae3bcfe2e1bc: 45 datasets; 2546.1 s; peak memory 1146 MiB.
2026-09-25T17:54:41Z INFO [145/367] 15ece562-e661-404a-8eaf-83f261c40362: 292 datasets; 233.4 s; peak memory 1146 MiB.
2026-09-25T17:54:43Z INFO [146/367] 15edc03c-a763-4cb4-b449-a523ca74f93c: 74 datasets; 1.4 s; peak memory 1146 MiB.
2026-09-25T17:54:47Z INFO [147/367] 15ede697-0bb2-43ef-9bf7-32a6a2fbcede: 50 datasets; 4.0 s; peak memory 1146 MiB.
2026-09-25T17:54:48Z INFO [148/367] 15ee3d8f-4494-4d81-9758-fd338c5438c1: 48 datasets; 1.2 s; peak memory 1146 MiB.
2026-09-25T17:54:49Z INFO [149/367] 15ee70a8-001c-496f-a0e7-30076a78a9de: 48 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:54:52Z INFO [150/367] 15ef083c-dd3f-4dd9-bed7-6090e71fdd60: 156 datasets; 3.3 s; peak memory 1146 MiB.
2026-09-25T17:54:53Z INFO [150/367] 15ef083c-dd3f-4dd9-bed7-6090e71fdd60: checkpointed 57441 records.
2026-09-25T17:54:54Z INFO [151/367] 15ef2dc6-c262-4767-8d2b-6e03dc9aef57: 289 datasets; 1.7 s; peak memory 1146 MiB.
2026-09-25T17:55:05Z INFO [152/367] 15ef84b6-5005-4fa0-8392-298038ac232d: 865 datasets; 10.7 s; peak memory 1146 MiB.
2026-09-25T17:55:08Z INFO [153/367] 15f1fd4a-3360-42ff-ab51-ae40e7853cf4: 153 datasets; 3.4 s; peak memory 1146 MiB.
2026-09-25T17:55:18Z INFO [154/367] 15f35d52-d705-4970-901b-d7774cec1368: 5791 datasets; 10.0 s; peak memory 1146 MiB.
2026-09-25T17:55:20Z INFO [155/367] 15f389c1-9eea-4e3d-be33-908c061eea72: 66 datasets; 2.1 s; peak memory 1146 MiB.
2026-09-25T17:55:23Z INFO [156/367] 15f41f60-f584-4f39-80d0-e577752b3c3f: 38 datasets; 2.8 s; peak memory 1146 MiB.
2026-09-25T17:55:47Z INFO [157/367] 15f43386-c6cb-4c99-8a85-1b9923033fdf: 994 datasets; 23.3 s; peak memory 1146 MiB.
2026-09-25T17:58:01Z INFO [158/367] 15f48a6e-3e5f-4c8f-9adf-350dabd2b34d: 99 datasets; 134.9 s; peak memory 1146 MiB.
2026-09-25T17:58:13Z INFO [159/367] 15f4de0c-edad-4e58-a8a7-c1523a974709: 682 datasets; 11.9 s; peak memory 1146 MiB.
2026-09-25T17:58:15Z INFO [160/367] 15f517e7-dadf-4d3a-b292-9ff4a380facb: 48 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:58:16Z INFO [161/367] 15f713f4-6d8d-43ff-9674-d365b9f69cc7: 48 datasets; 1.1 s; peak memory 1146 MiB.
2026-09-25T17:58:17Z INFO [162/367] 15f88193-7463-4888-93a7-c074aec33d75: 48 datasets; 1.4 s; peak memory 1146 MiB.
2026-09-25T17:58:20Z INFO [163/367] 15f8c47a-86eb-4265-ad29-6b03aea7fa2d: 88 datasets; 3.1 s; peak memory 1146 MiB.
2026-09-25T17:58:22Z INFO [164/367] 15f8ff54-7363-4e99-8cb5-de1b58eb73b4: 48 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:58:23Z INFO [165/367] 15f9414a-529d-4d95-ac1c-9f214fdf44c2: 50 datasets; 1.1 s; peak memory 1146 MiB.
2026-09-25T17:58:24Z INFO [166/367] 15f973d8-16fe-43bf-9fe2-81d7ffc9d92f: 58 datasets; 1.0 s; peak memory 1146 MiB.
2026-09-25T17:58:25Z INFO [167/367] 15facaa2-cc44-472d-b51c-155fd5ec9471: 117 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:58:26Z INFO [168/367] 15fcc631-61b4-4b57-9339-aa2ae2cec04e: 48 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:58:28Z INFO [169/367] 15fd4e29-0dc9-4637-950c-3f236e8c1869: 48 datasets; 1.3 s; peak memory 1146 MiB.
2026-09-25T17:58:29Z INFO [170/367] 15fdb76b-247c-4d96-aedf-7214b8c6fd63: 79 datasets; 1.6 s; peak memory 1146 MiB.
2026-09-25T17:58:30Z INFO [171/367] 15fe0ef9-9b5f-48a1-b669-569f4d59738a: 48 datasets; 1.2 s; peak memory 1146 MiB.
2026-09-25T17:58:32Z INFO [172/367] 15fe639d-f921-41cd-815f-fd046708d24a: 117 datasets; 1.4 s; peak memory 1146 MiB.
2026-09-25T17:58:34Z INFO [173/367] 15fe675b-8395-48b1-b818-0dafdd8e3871: 45 datasets; 1.7 s; peak memory 1146 MiB.
