2026-09-20T22:20:21Z INFO Logging to /tmp/logs/update_2026-09-20T22-20-21Z.log.
2026-09-20T22:20:21Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-20T22:20:21Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:54:20Z INFO [84/369] 0b2b0855-5c0c-429b-a196-902d5b101722: 643 datasets; 7.6 s; peak memory 1123 MiB.
2026-09-20T22:54:24Z INFO [85/369] 0b2c62de-4220-4af7-8507-d724a4389560: 208 datasets; 3.8 s; peak memory 1123 MiB.
2026-09-20T22:54:25Z INFO [86/369] 0b2dd134-8cc5-4dc9-af5a-ff04b8fe32a8: 38 datasets; 0.4 s; peak memory 1123 MiB.
2026-09-20T22:54:25Z INFO [87/369] 0b2e2421-5df3-49f3-ad03-350004f315d5: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:29Z INFO [88/369] 0b2f37af-7433-4c45-9c1a-e3e8c356183e: 343 datasets; 3.8 s; peak memory 1123 MiB.
2026-09-20T22:54:30Z INFO [89/369] 0b2ff777-693a-4bb2-bd0f-7c9f7705debf: 71 datasets; 1.1 s; peak memory 1123 MiB.
2026-09-20T22:54:31Z INFO [90/369] 0b2ffa75-c9a1-4bcc-a36c-675ed84cf1f7: 289 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:54:33Z INFO [91/369] 0b309d70-80bd-4c15-8822-ac18c5d3eca2: 154 datasets; 1.7 s; peak memory 1123 MiB.
2026-09-20T22:54:33Z INFO [92/369] 0b323e98-bacb-419b-b23a-a4677b0da91d: 38 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:54:34Z INFO [93/369] 0b32a99b-65d8-4454-a49d-32e7243f158d: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:35Z INFO [94/369] 0b32e366-4d8c-4116-be6c-81e7208b3f36: 102 datasets; 1.0 s; peak memory 1123 MiB.
2026-09-20T22:54:35Z INFO [95/369] 0b332bc1-b791-45ec-9631-f7ca05530231: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:36Z INFO [96/369] 0b33619d-020b-4094-b647-112caa8ab693: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:36Z INFO [97/369] 0b336393-ee2a-41b3-b363-fd1d6efe0c5d: 116 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:54:37Z INFO [98/369] 0b338f75-e1f8-444f-bd23-b8d8518cf2ec: 112 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:54:50Z INFO [99/369] 0b34330d-2c83-4f10-b294-9aabe6004bb9: 46 datasets; 12.8 s; peak memory 1123 MiB.
2026-09-20T22:54:51Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: 64 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:54:51Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: checkpointed 52230 records.
2026-09-20T22:54:52Z INFO [101/369] 0b34c2a6-c2f5-436e-bedd-08ff1cfff808: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:53Z INFO [102/369] 0b3547b2-1a38-4488-a736-59bd0cbe2897: 112 datasets; 1.0 s; peak memory 1123 MiB.
2026-09-20T22:54:53Z INFO [103/369] 0b359c34-a945-483e-a518-44f3e5255e7f: 117 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:54:54Z INFO [104/369] 0b3608b7-b509-4f69-84e8-8e60f5184c42: 48 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:54:55Z INFO [105/369] 0b36f13d-9ddc-42e3-ab7f-d5b148dfa5cd: 113 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:55:00Z INFO [106/369] 0b380c64-939d-4092-8f4e-a2310ae85ab5: 106 datasets; 5.7 s; peak memory 1123 MiB.
2026-09-20T22:55:01Z INFO [107/369] 0b39222d-8556-4f68-aa49-363144913a60: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:02Z INFO [108/369] 0b39b14c-add7-4ad6-ae87-242a0d56547a: 76 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:55:02Z INFO [109/369] 0b39f342-a2a4-477c-807a-9659ef3b03ee: 64 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:55:04Z INFO [110/369] 0b3a64b2-8589-4307-8493-336707bdfe21: 156 datasets; 1.7 s; peak memory 1123 MiB.
2026-09-20T22:55:05Z INFO [111/369] 0b3b86fd-3a30-44fb-9b07-6d365bbcfe20: 56 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:55:12Z INFO [112/369] 0b3c9831-4a16-457a-a260-9d11ad6313b5: 833 datasets; 7.6 s; peak memory 1123 MiB.
2026-09-20T22:55:13Z INFO [113/369] 0b3d8149-7e69-4fb2-91d3-8d2afe09b719: 117 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:55:14Z INFO [114/369] 0b3da296-e1cf-40ba-aac2-7a2fecec7df6: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:14Z INFO [115/369] 0b3e9de9-773a-4fae-bcc7-8e55a1ef6582: 79 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:55:16Z INFO [116/369] 0b3e9eb4-6f39-4b6e-a97a-adb499c47239: 104 datasets; 1.5 s; peak memory 1123 MiB.
2026-09-20T22:55:19Z INFO [117/369] 0b3f2c8c-2f2a-44c4-bc84-3ce52b8a84c0: 229 datasets; 2.8 s; peak memory 1123 MiB.
2026-09-20T22:55:19Z INFO [118/369] 0b3f3640-d3db-4b1d-ad75-649fac331b6f: 117 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:55:20Z INFO [119/369] 0b40287e-8e0d-49ff-b7d1-a5c09ff1bdc3: 48 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:55:20Z INFO [120/369] 0b42baaa-1d2c-459a-a61e-49d22b93c63e: 46 datasets; 0.3 s; peak memory 1123 MiB.
2026-09-20T22:55:21Z INFO [121/369] 0b42e9b8-abdf-4b88-bebe-0f22e89d450c: 56 datasets; 0.4 s; peak memory 1123 MiB.
2026-09-20T22:55:21Z INFO [122/369] 0b43bc0a-e7a0-406f-b17c-3803396cd68f: 116 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:22Z INFO [123/369] 0b44c302-629e-413f-b1d3-c642e104ffd3: 38 datasets; 0.4 s; peak memory 1123 MiB.
2026-09-20T22:55:25Z INFO [124/369] 0b44fdc7-f631-4ebc-99ab-3db90dcd5d98: 827 datasets; 3.1 s; peak memory 1123 MiB.
2026-09-20T22:55:25Z INFO [125/369] 0b450111-d416-4ce8-88ee-483ed81b43fe: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:27Z INFO [126/369] 0b45608f-d656-4be1-b28f-3fc06d2acbc4: 66 datasets; 1.1 s; peak memory 1123 MiB.
2026-09-20T22:55:27Z INFO [127/369] 0b456c21-bd29-49ab-b6c1-a4bb6805dee1: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:28Z INFO [128/369] 0b4589b4-3f47-4822-a0c3-67e56875c74a: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:28Z INFO [129/369] 0b46245f-b35b-4dc8-93cd-1a0c6e25bf9d: 118 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:29Z INFO [130/369] 0b468400-5d4d-4faf-bc1a-58af167326af: 66 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:55:35Z INFO [131/369] 0b46a676-9687-4612-8aee-f882e512f2e5: 640 datasets; 5.8 s; peak memory 1123 MiB.
2026-09-20T22:55:36Z INFO [132/369] 0b479f50-474c-4d5c-bb9e-5860859b1610: 66 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:55:37Z INFO [133/369] 0b47f65a-62f1-4a31-9c18-80395815e9d8: 118 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:37Z INFO [134/369] 0b49e2e6-6290-45a2-b164-5c64c17d40ee: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:38Z INFO [135/369] 0b4a0a1c-5263-422b-ab26-692ba7b5690b: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:38Z INFO [136/369] 0b4a4659-d84c-403c-aa1d-86af47100770: 52 datasets; 0.4 s; peak memory 1123 MiB.
2026-09-20T22:55:39Z INFO [137/369] 0b4af40a-ddbe-4ad1-b721-4973b4db278b: 117 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:55:40Z INFO [138/369] 0b4b8950-e0c9-49a4-b480-eef029e69d81: 118 datasets; 0.8 s; peak memory 1123 MiB.
