2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T16:49:02Z INFO [89/500] 027adeb8-c4b7-427b-a077-7324df21255d: 112 datasets; 1.6 s; peak memory 281 MiB.
2026-09-17T16:49:07Z INFO [90/500] 027b10c9-78fd-4aa7-ab67-81482fe1c215: 208 datasets; 4.9 s; peak memory 281 MiB.
2026-09-17T16:49:08Z INFO [91/500] 027d699e-242e-4213-b29f-f1ef09dd2f58: 71 datasets; 1.8 s; peak memory 281 MiB.
2026-09-17T16:49:13Z INFO [92/500] 027dce51-df65-498c-9e04-3f842e8c4418: 196 datasets; 5.0 s; peak memory 281 MiB.
2026-09-17T16:49:14Z INFO [93/500] 027f323e-e5aa-4fc9-8325-1a0801c471a7: 117 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:49:15Z INFO [94/500] 02806552-1931-4326-9b41-78b57b043661: 48 datasets; 0.8 s; peak memory 281 MiB.
2026-09-17T16:49:16Z INFO [95/500] 028065d0-64d8-4609-99ec-92b978434b87: 117 datasets; 1.0 s; peak memory 281 MiB.
2026-09-17T16:49:17Z INFO [96/500] 02815e50-4d08-47c5-b2dc-c962bef41956: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:49:18Z INFO [97/500] 0281843e-d70d-48fa-9fd4-31d528791927: 46 datasets; 0.7 s; peak memory 281 MiB.
2026-09-17T16:49:19Z INFO [98/500] 02822f47-95be-4b3a-aac2-e1f86eccb6d0: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:49:20Z INFO [99/500] 02824bdd-446c-4ed9-bd3c-a3a17c926ca0: 50 datasets; 0.8 s; peak memory 281 MiB.
2026-09-17T16:49:21Z INFO [100/500] 02829433-4773-404a-9d2e-32d2e45cd77a: 117 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:49:21Z INFO [100/500] 02829433-4773-404a-9d2e-32d2e45cd77a: checkpointed 48130 records.
2026-09-17T16:49:22Z INFO [101/500] 0282fe98-1eac-49c8-9808-33f9c1aaa00a: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:49:24Z INFO [102/500] 02831699-8efa-41a9-aca7-4a7bfcf664cf: 141 datasets; 1.9 s; peak memory 281 MiB.
2026-09-17T17:11:07Z INFO [103/500] 0284795a-a1ff-4230-b9ef-4158c57218a8: 19512 datasets; 1303.8 s; peak memory 1306 MiB.
2026-09-17T17:11:09Z INFO [104/500] 0284c48e-b45e-403f-ab03-707ed04d6195: 153 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:11:09Z INFO [105/500] 0285844c-4b1b-450f-af5a-d6417ba1cc79: 33 datasets; 0.7 s; peak memory 1306 MiB.
2026-09-17T17:11:10Z INFO [106/500] 02874466-b78c-41ae-8487-06726996a7d4: 48 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:11:12Z INFO [107/500] 02878f31-f679-4940-b6e1-5645c2bc461b: 112 datasets; 1.3 s; peak memory 1306 MiB.
2026-09-17T17:11:13Z INFO [108/500] 028801d5-ab2d-4a7e-9561-673e12734d37: 116 datasets; 1.3 s; peak memory 1306 MiB.
2026-09-17T17:11:14Z INFO [109/500] 0288de74-0668-4073-9ec2-b1be49cd1fe2: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:15Z INFO [110/500] 028953a2-2dd4-4a63-ae1f-0b6ef1cfc94e: 110 datasets; 1.2 s; peak memory 1306 MiB.
2026-09-17T17:11:16Z INFO [111/500] 028979ab-3a71-405c-9eb1-85486f0b8192: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:17Z INFO [112/500] 028a4a06-4529-47fb-b5d8-9d0b041e4100: 118 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:11:18Z INFO [113/500] 028b6b5e-5f02-4f14-a1c1-6db68da7eef4: 48 datasets; 0.8 s; peak memory 1306 MiB.
2026-09-17T17:11:19Z INFO [114/500] 028be36d-33e7-4cc7-aabe-b35d358f2eea: 116 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:11:20Z INFO [115/500] 028c061c-c72b-49f9-a0da-04dcaf9da140: 69 datasets; 1.2 s; peak memory 1306 MiB.
2026-09-17T17:11:30Z INFO [116/500] 028d135a-7ce8-42eb-af71-7247c3203f28: 1049 datasets; 9.8 s; peak memory 1306 MiB.
