2026-09-21T19:13:55Z INFO Logging to /tmp/logs/update_2026-09-21T19-13-55Z.log.
2026-09-21T19:13:55Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T19:13:55Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:21:17Z INFO [104/356] 0cb9c43a-6610-4101-9bcb-a221055dd28e: 35 datasets; 1.0 s; peak memory 212 MiB.
2026-09-21T19:21:19Z INFO [105/356] 0cba574d-cd88-46e7-aa14-08adf4e88878: 112 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:21:21Z INFO [106/356] 0cba6224-5ca0-4e75-940a-6a3fc72d3f5c: 112 datasets; 2.1 s; peak memory 212 MiB.
2026-09-21T19:21:23Z INFO [107/356] 0cbae780-a8b5-4caf-afa0-460218e004ba: 69 datasets; 2.2 s; peak memory 212 MiB.
2026-09-21T19:21:43Z INFO [108/356] 0cbb05ef-ac17-47d0-bd80-43e32d51800c: 48 datasets; 20.2 s; peak memory 212 MiB.
2026-09-21T19:22:00Z INFO [109/356] 0cbb3125-fc72-4a6a-999f-73818b3d07e7: 38 datasets; 16.6 s; peak memory 212 MiB.
2026-09-21T19:22:02Z INFO [110/356] 0cbb777a-a217-4422-8ce6-e97b1743e300: 57 datasets; 2.0 s; peak memory 212 MiB.
2026-09-21T19:22:03Z INFO [111/356] 0cbbd328-4a05-41c6-a388-23bee34ae855: 42 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:22:05Z INFO [112/356] 0cbcc93b-6413-42a4-9ff2-192db81e59a9: 118 datasets; 1.8 s; peak memory 212 MiB.
2026-09-21T19:22:07Z INFO [113/356] 0cbd268d-e2ff-4919-ab28-aafde7e83f56: 66 datasets; 2.2 s; peak memory 212 MiB.
2026-09-21T19:22:09Z INFO [114/356] 0cbdeb16-eafa-4fdf-9dda-3bd5892a04ba: 117 datasets; 1.6 s; peak memory 212 MiB.
2026-09-21T19:22:12Z INFO [115/356] 0cbe9f74-495d-46a9-b6dd-afe7e8a46450: 38 datasets; 3.0 s; peak memory 212 MiB.
2026-09-21T19:22:14Z INFO [116/356] 0cbefd5a-2284-4167-b2cd-bfd7aa5066a7: 112 datasets; 2.0 s; peak memory 212 MiB.
2026-09-21T19:22:16Z INFO [117/356] 0cbf0247-8612-47d2-b9e1-ab0d7b03361e: 117 datasets; 1.8 s; peak memory 212 MiB.
2026-09-21T19:22:17Z INFO [118/356] 0cbf33c8-0d31-4587-aa4d-6adc96eefc82: 46 datasets; 1.2 s; peak memory 212 MiB.
2026-09-21T19:22:19Z INFO [119/356] 0cbfe541-294f-42e4-b142-b41b61d90ed8: 71 datasets; 2.4 s; peak memory 212 MiB.
2026-09-21T19:22:23Z INFO [120/356] 0cc0b6b8-856b-4f8b-aa67-71f7f3e3a109: 168 datasets; 4.1 s; peak memory 212 MiB.
2026-09-21T19:22:25Z INFO [121/356] 0cc0bc15-41f5-4fcf-aa44-ed1330bed371: 84 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:22:26Z INFO [122/356] 0cc1beb6-692b-499a-83c7-906fccfbbfe1: 116 datasets; 1.6 s; peak memory 212 MiB.
2026-09-21T19:22:28Z INFO [123/356] 0cc203e6-6a52-4adf-9169-437802d79c52: 117 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:22:29Z INFO [124/356] 0cc2fd16-bfe7-4050-8a6c-77ca8a1590e3: 78 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:22:31Z INFO [125/356] 0cc395a0-3461-41ee-877e-8450c51b2ba1: 51 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:22:33Z INFO [126/356] 0cc3b4c0-2cd8-4a0b-a4fe-61f11e97a7ba: 59 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:22:34Z INFO [127/356] 0cc3be3a-bdbb-44e4-b407-50732a634a4f: 118 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:22:36Z INFO [128/356] 0cc46824-e998-453f-8cba-02864eab0cf0: 93 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:31:33Z INFO [129/356] 0cc5c820-2972-4c4e-89d7-8cd7ce5ad162: 109 datasets; 536.7 s; peak memory 1123 MiB.
2026-09-21T19:31:46Z INFO [130/356] 0cc63ef1-296d-41d0-8edf-a2e051d4c83c: 850 datasets; 13.0 s; peak memory 1123 MiB.
2026-09-21T19:32:03Z INFO [131/356] 0cc6bc1e-15bb-4aad-9b15-54aa58e4ad06: 38 datasets; 17.4 s; peak memory 1123 MiB.
2026-09-21T19:32:04Z INFO [132/356] 0cc6c406-fd42-4177-ab33-42b5d39a5c7a: 35 datasets; 1.0 s; peak memory 1123 MiB.
2026-09-21T19:32:06Z INFO [133/356] 0cc8a28c-60cb-41dc-8403-0849bb3b6db7: 110 datasets; 2.0 s; peak memory 1123 MiB.
2026-09-21T19:32:08Z INFO [134/356] 0cc9db5e-e6fb-4cb9-8b8d-d8c28720f148: 48 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:32:09Z INFO [135/356] 0cca56eb-69cc-40e5-ae3c-11b6007516f7: 48 datasets; 1.3 s; peak memory 1123 MiB.
2026-09-21T19:32:30Z INFO [136/356] 0ccae657-a46d-4148-9d86-de67833e1ef3: 48 datasets; 21.3 s; peak memory 1123 MiB.
2026-09-21T19:32:32Z INFO [137/356] 0ccb5a58-6abd-4681-b37b-f338b5a99279: 38 datasets; 1.2 s; peak memory 1123 MiB.
2026-09-21T19:32:33Z INFO [138/356] 0ccd16e3-ef1a-4015-804a-0db8ff95f1ef: 116 datasets; 1.5 s; peak memory 1123 MiB.
2026-09-21T19:32:35Z INFO [139/356] 0ccd3b5c-5f4a-4a10-970c-d4bd90c6e846: 116 datasets; 1.5 s; peak memory 1123 MiB.
2026-09-21T19:32:36Z INFO [140/356] 0ccd9b2e-9aa3-46d5-8f99-aa5ce0bda872: 117 datasets; 1.6 s; peak memory 1123 MiB.
2026-09-21T19:32:39Z INFO [141/356] 0ccdfb58-7a56-4c9b-a45b-e222b9f0777f: 110 datasets; 2.3 s; peak memory 1123 MiB.
2026-09-21T19:32:40Z INFO [142/356] 0ccdfc04-0040-412f-bd16-f7bb478b4f56: 112 datasets; 1.8 s; peak memory 1123 MiB.
2026-09-21T19:32:42Z INFO [143/356] 0cce0da8-a454-4ff7-8670-01104465a18f: 33 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:32:43Z INFO [144/356] 0cce202c-411a-413d-bd5c-e4b4d4b4839d: 48 datasets; 1.5 s; peak memory 1123 MiB.
2026-09-21T19:32:44Z INFO [145/356] 0cce4594-6f28-4b71-853b-761bf761b198: 46 datasets; 1.1 s; peak memory 1123 MiB.
2026-09-21T19:32:51Z INFO [146/356] 0ccfeb40-4d35-4283-9f37-d80020df3176: 229 datasets; 6.9 s; peak memory 1123 MiB.
2026-09-21T19:32:53Z INFO [147/356] 0cd0935b-eb4a-4056-b772-8e7be884e767: 48 datasets; 1.3 s; peak memory 1123 MiB.
2026-09-21T19:32:55Z INFO [148/356] 0cd0c344-306e-4238-8896-fcad7a40bd63: 66 datasets; 2.1 s; peak memory 1123 MiB.
2026-09-21T19:32:56Z INFO [149/356] 0cd137a3-ca08-4267-81aa-96b3236acf3d: 48 datasets; 1.3 s; peak memory 1123 MiB.
2026-09-21T19:32:57Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: 48 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:32:57Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: checkpointed 53016 records.
2026-09-21T19:33:05Z INFO [151/356] 0cd16cc3-ac83-461b-a110-2655c05fcbae: 219 datasets; 7.6 s; peak memory 1123 MiB.
2026-09-21T19:33:07Z INFO [152/356] 0cd1f00c-1924-4118-91cc-d956d9da5f16: 116 datasets; 1.6 s; peak memory 1123 MiB.
2026-09-21T19:33:08Z INFO [153/356] 0cd21d3e-1591-49e2-807c-a79b370307a9: 48 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:33:10Z INFO [154/356] 0cd3c0b7-befa-4a16-b24e-86adf64299f2: 110 datasets; 2.1 s; peak memory 1123 MiB.
2026-09-21T19:33:12Z INFO [155/356] 0cd5c7aa-37e4-4d41-a510-5b1c7cc8fabc: 117 datasets; 1.8 s; peak memory 1123 MiB.
2026-09-21T19:33:14Z INFO [156/356] 0cd5e642-4064-4829-a62c-afeb4a4be98e: 112 datasets; 1.8 s; peak memory 1123 MiB.
2026-09-21T19:33:15Z INFO [157/356] 0cd7d428-1b53-483f-b066-3439c2585bd9: 48 datasets; 1.2 s; peak memory 1123 MiB.
2026-09-21T19:33:17Z INFO [158/356] 0cd8d370-a436-47b5-9e50-4b518c1a234d: 117 datasets; 2.2 s; peak memory 1123 MiB.
2026-09-21T19:33:31Z INFO [159/356] 0cd9dcc9-0508-4bfe-a217-7e0946f17926: 271 datasets; 13.3 s; peak memory 1123 MiB.
2026-09-21T19:33:33Z INFO [160/356] 0cda32c1-f8bd-43a5-8343-91acaf903acc: 112 datasets; 2.0 s; peak memory 1123 MiB.
2026-09-21T19:33:40Z INFO [161/356] 0cdb59f5-5c0f-4cb8-a2b9-85029f87379a: 538 datasets; 7.4 s; peak memory 1123 MiB.
2026-09-21T19:33:41Z INFO [162/356] 0cdb73c9-3b3b-4654-b34c-1217879b0484: 48 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:33:43Z INFO [163/356] 0cdbcd84-424e-4a1b-88a3-8ab4daffdf46: 48 datasets; 1.4 s; peak memory 1123 MiB.
2026-09-21T19:33:44Z INFO [164/356] 0cdc095b-03bc-4cf4-9a4c-a1cec815b236: 48 datasets; 1.3 s; peak memory 1123 MiB.
2026-09-21T19:33:45Z INFO [165/356] 0cdc1bd3-fdc9-4e45-ae5e-c89b9d1d5bae: 33 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-21T19:33:46Z INFO [166/356] 0cdcb4a2-8039-4e15-84b4-ef80b03d3e22: 46 datasets; 1.2 s; peak memory 1123 MiB.
2026-09-21T19:33:48Z INFO [167/356] 0cdccbd7-7593-413c-a011-abfa7c5ea3f2: 46 datasets; 1.5 s; peak memory 1123 MiB.
2026-09-21T19:33:49Z INFO [168/356] 0cdcdff2-c8cc-495b-a8f0-00245357af75: 117 datasets; 1.9 s; peak memory 1123 MiB.
2026-09-21T19:33:51Z INFO [169/356] 0cdd32e2-b4fa-4dc9-842e-cf9a8111d4e0: 47 datasets; 1.3 s; peak memory 1123 MiB.
2026-09-21T19:33:52Z INFO [170/356] 0cdd4f0c-21a9-45d0-92bd-f07d11f5eff4: 56 datasets; 1.3 s; peak memory 1123 MiB.
